Name,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Number of Employees,Headquarters Location,Founded Date
Datanomik,"Banking, Developer APIs, Finance","Datanomik is an Open Finance B2B Fintech platform that enables easy access to financial data from several financial institutions in Latin America. Through a suite of solutions for all types of companies and other Fintechs, Datanomik is the most complete Open Finance platform in Latin America.",Datanomik is an Open Finance B2B Fintech platform that enables easy access to financial data from several financial institutions in LatAm,"Andreessen Horowitz, Latitud",Seed,"$6,000,000",11-50,"Montevideo, NA - Uruguay, Uruguay","Jan 1, 2022"
Relive,"Marketing, Mobile Apps, Online Portals","Relive empowers the next generation of real estate entrepreneurs, by supporting agents to build successful businesses. We work with top producing agents who want to professionalize, differentiate and scale.","Relive empowers the next generation of real estate entrepreneurs, by supporting agents to build successful businesses","Techstars, Accel, Indico Capital Partners",Pre-Seed,"$1,100,000",11-50,"Austin, Texas, United States",Jan 2021
trica,"Financial Services, FinTech, SaaS","trica is a venture-backed company whose investors include Accel, Lighthouse Canton and Secocha Ventures. The company’s SaaS product trica equity is a cap table and ESOP management software used by 600+ customers from India, USA, Singapore. trica capital is a platform for family offices and UHNIs to back growth stage companies in India. This investor network is 800 strong and the platform has unlocked over $60 million in growth capital for companies like Byju’s, Melorra, Stockal, Webengage, Khatabook, Bobble.ai, Leverage Edu, etc.",trica's suite of SaaS products make equity management (cap table & ESOPs) and private market transactions simple and efficient,"Accel, Kunal Shah, Sprint Vc, Secocha Ventures",Seed,"$3,000,000",11-50,"Mumbai, Maharashtra, India",Jun 2021
Eder Labs (dba ColorIt),"Artificial Intelligence (AI), Internet","Color is a personalised shopping assistant, that understands the user deeply and personally through language, it creates a persona graph that dynamically evolves with the user’s journey on the Internet. Color helps create a meaningful and personalised product curation, while ensuring personal data remains in the control of the user.",Privacy preserving hyperpersonalization for eCommerce consumers,Accel,Pre-Seed,"$2,000,000",11-50,"San Francisco, California, United States","May 1, 2020"
Wectory,"FinTech, Rental Property",FinTech/PropTech SAAS. Factoring service to convert future rental revenue into working capital today to help landlords with their planned and unexpected expenses.,Transforming rental revenue into upfront capital,"Sequoia Capital, Accel, Lakestar",Seed,"$2,000,000",11-50,"London, England, United Kingdom","Aug 4, 2020"
Mem Protocol,"Information Technology, Software",Mem Protocol is a human-centric tool for the social layer of web3.,Mem Protocol is a human-centric tool for the social layer of web3.,"Andreessen Horowitz, Balaji Srinivasan",Pre-Seed,"$3,100,000",1-10,"San Francisco, California, United States",2021
Calliper,"Analytics, Business Intelligence",Calliper is an analytics platform that assist startups build data-driven teams by concentrating on the metrics. It helps to connect the tools and consolidate the metrics.,Calliper is a platform for collaborative analytics.,"Sequoia Capital, Tiny VC, Verissimo Ventures",Seed,"$1,800,000",1-10,"London, England, United Kingdom",2022
Nory AI,"Artificial Intelligence (AI), Hospitality","Nory is an operating system designed to help restaurant groups streamline operations and boost profitability. The company's AI-powered platform offers features like business intelligence, inventory management, workforce management, and payroll.","Nory is a restaurant management platform with features like AI-powered business intelligence, inventory control, and employee management.","Accel, Enterprise Ireland, Playfair Capital",Series A,"€14,720,000",11-50,"Dublin, Dublin, Ireland",2020
Buidler DAO,"Cryptocurrency, Web Development","Buidler DAO describes itself as a ""network of web3 projects and talents."" The effort brings together developers, researchers, and operators with the goal of providing an infrastructure and accelerator for cryptocurrency ventures.",Buidler DAO describes itself as a network of web3 projects and talents.,"Sequoia Capital, SevenX Ventures",Seed,"$2,000,000",11-50,"Brooklyn, New York, United States",2022
Method Financial,"Banking, Financial Services, FinTech",Method Financial is a financial connectivity API for consumer liability data + payments.,Method Financial is a financial connectivity API for consumer liability data + payments,"Andreessen Horowitz, Alumni Ventures",Series A,"$16,000,000",11-50,"Austin, Texas, United States",2021
Party,"Artificial Intelligence (AI), SaaS","PartyKit builds an open-source platform for deploying and hosting real-time, collaborative applications powered by AI agents.",Deploy and host in real-time,"Sequoia Capital, Tiny VC, Untitled Ventures",Pre-Seed,"$2,500,000",1-10,"City Of London, England, United Kingdom",2023
Vantage,"Cloud Infrastructure, Data Visualization","Vantage is a service that helps businesses manage and optimize their cloud infrastructure costs. Vantage's mission is to build a suite of tools that make it easy for engineering, leadership, and finance to analyze, collaborate on and optimize their cloud infrastructure costs. The platform currently supports AWS, Azure, Google Cloud, Databricks, Snowflake, New Relic, Datadog, Fastly, MongoDB, and Kubernetes.","Vantage is a cloud cost management and optimization platform that allows developers to analyze, report on, and reduce cloud costs.","Andreessen Horowitz, Scale Venture Partners",Series A,"$21,000,000",11-50,"New York, New York, United States",Sep 2020
Synativ,"Artificial Intelligence (AI), Computer Vision","Computer vision teams may create creative AI solutions without bottlenecks with Synativ's assistance thanks to the most recent research in generative AI. The use of Synativ can help with dataset imbalances, domain adaptability and edge case problems, as well as cost-cutting MLOps. Synativ accomplishes that by producing more image data while preserving your labels.",Synativ helps you to generate data quickly in order to run your computer vision models in all situations.,Sequoia Capital,Pre-Seed,"$1,000,000",1-10,"London, England, United Kingdom",Sep 2021
Effectiv,"Analytics, FinTech","Effectiv is a next-gen fraud management platform with out-of-box solutions designed specifically for financial institutions. Effectiv’s focus is to significantly reduce the time it takes to deploy and adapt fraud detection strategies without adding any friction to good users. The Effectiv platform comes with an easy to use, no-code, orchestration & rule engine with pre-built integrations to all industry standard data & intelligence providers; an AI-assisted case management system built to increase investigator efficiency; and a powerful reporting and analytics dashboard. About us: Our founding team has over 30 years of combined experience in building risk mitigation systems at companies like Google, PayPal and Walmart. We were also part of the early team at Simility (acquired by PayPal), where we developed fraud detection solutions for large banks like US Bank, Synchrony, Discover, Zions, Itau and Santander.",Fraud detection platform for financial institutions,"Accel, Better Tomorrow Ventures",Seed,"$4,500,000",11-50,"San Francisco, California, United States","Apr 21, 2021"
Socket,"Artificial Intelligence (AI), Cloud Security","Socket is a new security company that can protect your most critical apps from supply chain attacks. We are taking an entirely new approach to one of the hardest problems in security in a stagnant part of the industry that has historically been obsessed with just reporting on known vulnerabilities. Socket is built by a team of open source maintainers with over 1 billion monthly downloads. Everyone on the Socket team is an open source maintainer. We are all driven to defend the open source ecosystem from supply chain attacks and make it safe for everyone. Socket is unique because, unlike other tools, it detects and blocks supply chain attacks before they strike, mitigating the worst consequences.",Socket is a developer-first security platform that protects your most critical apps from software supply chain attacks.,"Andreessen Horowitz, Balaji Srinivasan",Series A,"$20,000,000",11-50,"Stanford, California, United States",2020
Stemma,"Data Management, Enterprise Software","Stemma helps users discover & trust data, and organizations safeguard the privacy and security of their data subjects.","Stemma helps users discover & trust data, and organizations to safeguard the privacy and security of their data subjects.","Sequoia Capital, Charles Zedlewski",Seed,"$4,800,000",11-50,"Redmond, Washington, United States",2020
Battlebound,"Blockchain, Gaming",Battlebound use blockchain technology to create play to earn games.,Battlebound use blockchain technology to create play to earn games.,"Andreessen Horowitz, Dapper Labs",Seed,"$4,800,000",11-50,"Los Angeles, California, United States",May 2021
SphereEx,"Analytics, Cloud Computing, Cloud Data Services","SphereEx builds new distributed data infrastructures, by being fully committed to the open source community, the platform concept, and cutting-edge Big Data technological innovation. Our R&D efforts led to the success of ShardingSphere, a ""platform, pluggable, cloud-native"" distributed middleware solution ideal for large-scale data and data value-added applications. Our pioneering ""Database Plus"" and ""Database Mesh"" concepts are designed to unlock innovative data usage concepts, improve enterprise data applications, and easily respond to complex data scenarios. Following over 5 years of development, the ShardingSphere project has gained more than 13 thousand GitStars on GitHub, involving over 200 contributors, becoming one of the most popular open source projects. In April 2020, ShardingSphere successfully graduated from the Apache Incubator, and became an Apache Software Foundation Top-Level Project. More recently, ShardingSphere has also been recognized as a Cloud Native Computing Foundation (CNCF) Panorama project. To date, ShardingSphere has already been used in more than 160 enterprise and production environments covering the financial, logistics, O2O, internet & cloud computing fields, to help achieve enterprise digital transformation.",SphereEx is a database software provider that builds distributed data infrastructures with the help of cloud and big data technologies.,"Sequoia Capital, HongShan, Vision Knight Capital",Seed,"$10,000,000",11-50,"Beijing, Beijing, China","May 1, 2021"
Cybersyn,"Analytics, Database, Software",Cybersyn is a company that was created for the age of data exchange and quick movement.,Cybersyn is a company that was created for the age of data exchange and quick movement.,"Sequoia Capital, Snowflake, Coatue",Series A,"$62,900,000",1-10,"New York, New York, United States",2022
PropBidder,"Marketplace, Real Estate, Residential","PropBidder (www.propbidder.com) provides web-based software for real estate agents & realtors so they can plan, manage, & participate in a variety of highly adaptable online bidding processes. We also facilitate automatic real-time offer feedback for buyers and buyers agents through our patent protected offer scoring technology.",PropBidder is SaaS enabled online bidding marketplace for homes & condos.,"Sequoia Capital, Lightspeed Venture Partners",Seed,—,1-10,"Denver, Colorado, United States",Sep 2020
Blackbird,"Hospitality, Information Technology","Blackbird Labs is a web3 hospitality technology platform that should directly connect restaurants and customers. Founded by Ben Leventhal in 2022, Blackbird Labs is based in New York, United States.",Blackbird Labs is a web3 hospitality technology platform that should directly connect restaurants and customers.,"Circle, Andreessen Horowitz, Union Square Ventures",Series A,"$24,000,000",11-50,"New York, New York, United States",2022
Niftmint,"Blockchain, Cryptocurrency, E-Commerce","Niftmint is NFT Commerce Infrastructure. Niftmint manages all the crypto and crypto wallet needs for brands and organizations directly on their channels so they can provide seamless customer experiences including the minting of the NFT, purchasing the NFT (customer purchases with a credit card and Niftmint handles minting with crypto like a merchant processor), and custody of the NFT (Niftmint holds custody until if/when brand or customer wants to custody). Niftmint integrates into the brand's existing commerce platforms and workflows as opposed to sending the customer to search for crypto, find a crypto wallet, and transact in a third-party environment using crypto.",NFT Commerce Infrastructure for Brands on their existing platforms,"Andreessen Horowitz, Google for Startups",Pre-Seed,"$100,000",1-10,"Seattle, Washington, United States","Jan 4, 2022"
Nxyz,Blockchain,"nxyz aims to empower a new generation of builders, creatives, and entrepreneurs to develop a better internet by providing fast, flexible, and reliable blockchain indexing and data infrastructure.",Nxyz mission to empower a new generation of builders and creators to build a better internet for all.,"Sequoia Capital, Balaji Srinivasan",Series A,"$40,000,000",1-10,"Mountain View, California, United States",2022
xalts,"Enterprise Software, Financial Services","xalts is a financial infrastructure platform for institutions. We create technology that enables an interconnected and interoperable financial services ecosystem, in a secure and regulated manner. Our suite of no-code applications, services and APIs power the development of programmable assets by unlocking multi-party collaboration between institutions using blockchain and DLT technology. Our full stack infrastructure allows institutions to get started instantly without the need to onboard multiple vendors and technology providers, saving them valuable time and engineering resources, in implementing production ready solutions. Institutions can transform any ecosystem by embedding our multi-party programmability solutions into assets - from trade receivables, loans & bonds to loyalty points - and enable instant origination, transfer and servicing, in a secure and low cost manner.",Infrastructure for Programmable Assets,"Accel, Sandeep Nailwal, Citi Ventures",Seed,"$6,000,000",11-50,"Singapore, Central Region, Singapore",2022
Spade,"Artificial Intelligence (AI), Developer APIs","Spade is the only transaction data enrichment solution backed by real data. We leverage our vast first-party data network to bring instant clarity and context to every purchase and payment—with precisely matched merchant, category, and geolocation details that empower you to build the next generation of financial technology.",Spade provides a financial data enrichment API to analyse and secure customers transaction data.,"Andreessen Horowitz, Y Combinator",Series A,"$10,000,000",11-50,"New York, New York, United States",Dec 2020
Lightdash,"Analytics, Business Intelligence",Lightdash turns a dbt project into a full-stack BI platform. Analysts write metrics that the rest of the organization can use for true self-serve analytics.,Lightdash turns a dbt project into a full-stack BI platform.,"Accel, Y Combinator, Moonfire Ventures",Seed,"$6,000,000",1-10,"San Francisco, California, United States",Apr 2020
Fincome,"Business Intelligence, Enterprise Software","Fincome is a recurring business model that offers a 360-degree, real-time view of everything from income to cash flow. It aims at businesses with a recurring revenue model like saas publishers. They develop integrations with new invoicing tools every month to make it easier to use.",Fincome provides managers with a real-time view of their company's performance.,Accel,Seed,"€1,000,000",1-10,"Paris, Ile-de-France, France",2021
Kratos Studios,"Online Games, PC Games, Video Games",Kratos is the intellectual property owner of the gaming DAO IndiGG. Kratos is also an active investor in the global web3 gaming.,Kratos is the intellectual property owner of the gaming DAO IndiGG and also an active investor in the global web3 gaming.,"Nazara Technologies, Nexus Venture Partners",Seed,"₹1,600,000,000",1-10,"Bengaluru, Karnataka, India",2022
Marker Learning,"Consulting, EdTech, Education",Marker Learning provides a telepsychology platform that makes learning disability assessments and personalized action plans accessible for schools and families. The licensed psychologists at Marker have received specialized training to work with both children and adults up to the age of 50.,Marker Learning provides a telepsychology platform that makes learning disability assessments and personalized action plans.,"Andreessen Horowitz, Primary Venture Partners",Series A,"$15,000,000",11-50,"New York, New York, United States",2021
Kaito,"Artificial Intelligence (AI), Cryptocurrency","Kaito is an AI-powered search engine for digital assets. We utilize advanced in-house AI technologies to transform terabytes of information into actionable insights for crypto investors, researchers, developers, and the general public. Our goal is to democratize information in the crypto industry.",AI-powered search engine for digital assets,"Sequoia Capital, Mirana, Folius Ventures",Series A,"$5,500,000",11-50,"Seattle, Washington, United States","May 20, 2022"
Sound,"Blockchain, Music",Sound connects artists and listeners to take ownership over the culture they create together.,Sound connects artists and listeners to take ownership over the culture they create together.,"Andreessen Horowitz, Coinbase",Series A,"$20,000,000",1-10,"San Francisco, California, United States",2021
NewLimit,"Biotechnology, Clinical Trials",NewLimit specializes in treating age-related diseases to extend the human health span. It works on developing epigenetic reprogramming medicines to treat diseases with large unmet needs.,NewLimit is creating epigenetic reprogramming medications to cure diseases with significant unmet medical needs.,"Garry Tan, Kleiner Perkins, Founders Fund",Series A,"$40,000,000",11-50,"South San Francisco, California",2022
Provus,"Artificial Intelligence (AI), SaaS","Provus is a platform that provides revolutionary CPQ services solutions, built natively on the Salesforce Platform. Its unique AI-powered technology helps enterprise customers to accelerate turnaround time, grow deal sizes, and increase win probability faster – all while improving gross margins and mitigating compliance risk. Provus is an approved Salesforce AppExchange Partner.",Provus is a platform that provides revolutionary CPQ services solutions.,"Accel, Storm Ventures, Norwest Venture Partners",Series A,"$12,000,000",11-50,"Saratoga, California, United States",2021
Accacia,"GreenTech, Real Estate, Software","Accacia is an AI-enabled real-estate decarbonization platform that allows RE and infrastructure owners, developers, asset managers, and operators to measure, track and manage their climate risks.",Accacia is an AI-enabled Real Estate Decarbonisation Platform.,"Rainmatter Capital, Blume Ventures",Seed,"$6,500,000",11-50,"Gurgaon, Haryana, India",2022
Fractal,"Cryptocurrency, Marketplace","Fractal is an in-game asset and virtual world marketplace where users may find, purchase, and sell gaming NFTs. Fractal is headquartered in Solana, United States and was founded in 2021.","Fractal is an in-game asset and virtual world marketplace where users may find, purchase, and sell gaming NFTs.","Andreessen Horowitz, Animoca Brands",Seed,—,1-10,"San Francisco, California, United States",2021
Sloyd,"3D Technology, Machine Learning","Sloyd is enabling creators to make 3D assets really fast and really easy. Our core differentiation is optimized, usable 3D objects that are instantly customizable. We are the only infrastructure that can do in-game creation, enabling User Generated Content on a new scale. Our webapp allows quick customization of 3D assets using AI prompting, sliders and toggles. Users can access hundreds of templates to customize 3D assets. Our SDK handles generation of huge worlds in realtime, at runtime. It enables 99% storage space saving, in-game creation tools, procedural worlds, and liveops asset changes. We combine parametric models with AI, which ensures that assets are always game-ready. We generate UV maps and LODs instantly, with optimized meshes, but still allow prompting for 3D models with immediate results.",Sloyd is enabling creators to make 3D assets really fast and really easy.,"Antler, Andreessen Horowitz, Overwolf",Seed,"€3,000,000",11-50,"Oslo, Oslo, Norway","Apr 29, 2021"
Nexue,"Health Care, SaaS, Software","Welcome to Nexus.Cloud, your dedicated partner in revolutionizing healthcare data management. We specialize in providing secure cloud solutions tailored for hospitals, insurance companies, and patients, ensuring seamless storage, protection, and accessibility of medical records. With our comprehensive services, we aim to streamline healthcare operations and enhance patient experiences. Why Choose Nexus.Cloud? Medical Data Security: At Nexus.Cloud, we understand the sensitivity of medical records. Our state-of-the-art security measures safeguard patient data, adhering to strict industry regulations and compliance standards. Efficient Cloud Storage: Bid farewell to cumbersome paper-based systems. Our cloud solutions enable hospitals and insurance companies to digitize and efficiently store vast volumes of medical data, eliminating the need for physical storage and reducing administrative burden. Patient-Centric Approach: Patients' well-being is at the heart of our services. With our user-friendly platforms, patients gain secure access to their medical records, empowering them to take charge of their health and make informed decisions. Automated Appointment Reminders: We value patients' time and strive to enhance their healthcare journey. Through automated appointment reminders, we ensure patients never miss critical medical consultations, leading to improved care outcomes. Scalable and Flexible Solutions: Whether you are a small clinic or a large hospital network, our cloud services are designed to scale with your needs. Enjoy the flexibility to customize solutions that align with your organization's unique requirements.","We specialize in providing secure cloud solutions tailored for hospitals, insurance companies, and patients","Sequoia Capital, Vista Equity Partners",Seed,"$3,500,000",11-50,"California City, California, United States",2021
Here Not There Labs,"Developer APIs, Developer Tools","Here Not There Labs develops a fully decentralized chat protocol for online communities. The company is composed of a team of web3 creators led by CEO Ben Rubin. Here Not There Labs is the developer of Towns, a protocol and a web-based chat app designed to facilitate self-owned and self-governed online communities.",Here Not There Labs develops a fully decentralized chat protocol for online communities.,"a16z crypto, K5 Global, Framework Ventures",Series A,"$25,500,000",11-50,"San Francisco, California, United States",2020
OneSchema,"Big Data, Productivity Tools, SaaS","OneSchema develops embeddable tools designed to detect and correct errors in CSV data. Product and engineering teams use OneSchema to save months of development time building a CSV importer. OneSchema improves customer activation/import completion rates by automatically correcting customer data. OneSchema helps teams to launch performant and fully customized spreadsheet importers in hours, not months, and enables customers to upload, validate, and clean data during onboarding.",OneSchema develops embeddable tools designed to detect and correct errors in CSV data.,"Sequoia Capital, General Catalyst",Seed,"$6,300,000",11-50,"San Francisco, California, United States",2021
Telda,"Banking, Financial Services, FinTech","A financial brand in the MENA region built for Millennials and GenZ to take the pain out of payment experience and peer-to-peer transfers. Telda is bringing a better way to send, spend and save money to anyone who has ever sought an alternative to the traditional banking system.","Telda is the easiest and fastest way to send, spend and save money.","Sequoia Capital, Global Founders Capital",Seed,"$20,000,000",11-50,"Cairo, Al Qahirah, Egypt",Apr 2021
Revio,"Billing, FinTech, Software","Revio was founded in 2020 to help businesses collect more revenue, through reducing payment failures and recovering lost revenue. Through a single API, we optimise merchants’ payment stacks with locally-optimised payment methods and smart payment routing, failover, and retries. We understand that there is more to getting paid than accepting payments, and believe that how you engage customers when trying to collect a failed payment is as important as when you are trying to acquire them. Our Recovery solution builds on this insight, empowering businesses with data-driven omnichannel interaction workflows to recover at-risk revenue from their customers. Today, we’re helping some of Africa's largest brands and fastest-growing startups increase their revenue through increased payment success rates, customer retention, and lifetime value. Locally grounded but globally relevant, we aim to be the go-to revenue recovery and growth partner for businesses across emerging markets.",The go-to payment orchestration and revenue recovery platform for emerging markets,"Circle, Sequoia Capital, Everywhere Ventures",Seed,"$5,200,000",11-50,"Pretoria, NA - South Africa, South Africa",2020
WellTheory,"Health Care, Medical, Personal Health",WellTheory is a virtual care platform providing autoimmune and inflammatory conditions care services.,WellTheory is a virtual care platform providing autoimmune and inflammatory conditions care services.,"Accel, Susa Ventures, Scribble Ventures",Seed,"$7,200,000",11-50,"Atherton, California, United States",2021
Pillow,"Bitcoin, Blockchain, Cryptocurrency","Pillow is a crypto investment startup that accelerates the adoption of crypto services in emerging economies. Its platform helps generate downside-protected interest on crypto assets by investing in curated, actively managed Defi strategies. The company aims to make participation in DeFi as simple as possible, by abstracting out all technical, security, and strategic concerns and allowing users to earn high yields on their holdings with a simple click. Pillow was founded in 2021 by Arindam Roy, Rajath KM, and Kartik Mishra.","Pillow helps generate downside-protected interest on crypto assets by investing in curated, actively managed Defi strategies.","Elevation Capital, Accel, Quona Capital",Series A,"$18,000,000",11-50,"Singapore, Central Region, Singapore",2021
Synonym Biotechnologies,"Biotechnology, Finance, FinTech","Synonym is a financing and development platform for essential biomanufacturing infrastructure. It builds production capacity for synthetic biology companies and creates a new asset class for investors. The company was founded in 2021 and is based in New York, New York.",Synonym is a financing and development platform for essential biomanufacturing infrastructure.,"Andreessen Horowitz, FJ Labs",Pre-Seed,"$6,300,000",1-10,"New York, New York, United States",2021
Chronicle,"Content, Data Visualization, Marketing","Chronicle is a modern format of presentation. deliver impressive, interactive stories.",Chronicle is a modern format of presentation.,"Accel, iSeed, Giridhar Malpani",Seed,"$7,500,000",11-50,"San Francisco, California, United States",2021
TipLink,"Blockchain, Cryptocurrency, Payments","TipLink helps send crypto with a link. Someone with crypto can create a account and send that link to anyone over any platform. It’s like buying a gift card, connect the client's crypto wallet of choice and create a account by depositing how much they want to send.",TipLink is a lightweight wallet that helps send digital assets by sending an URL.,"Circle, Sequoia Capital, Multicoin Capital",Seed,"$6,000,000",1-10,"New York, New York, United States",2022
Topkey,"FinTech, Real Estate, Software","Topkey is an app that tracks expenses by property, sync transactions across systems, and save tons of money on bookkeeping. Topkey was founded in 2020 and was headquartered in San Francisco, USA.",The ultimate financial operating system for property managers. (YC W21),"Andreessen Horowitz, Y Combinator",Seed,"$5,200,000",1-10,"San Francisco, California, United States",Nov 2020
Rex,"Artificial Intelligence (AI), Computer Vision","Rex offers a mobile app that allows users to find, track, and recommend places. Rex app seeks to start sharing recommendations by combining AI and computer vision technology.","Rex offers a mobile app that allows users to find, track, and recommend places.","Khosla Ventures, Accel, Future Positive",Seed,"$3,960,000",1-10,"New York, New York, United States",Jul 2021
Regression Games,"Artificial Intelligence (AI), Gaming",Regression Games makes competitive gaming based on artificial intelligence available and enjoyable for everyone.,Regression Games makes competitive gaming based on artificial intelligence available and enjoyable for everyone.,"Andreessen Horowitz, New Enterprise Associates",Seed,"$4,200,000",1-10,"Philadelphia, Pennsylvania, United States","May 10, 2022"
Fundly.ai,"Financial Services, FinTech","Fundly.ai is a fintech platform embedded in the healthcare vertical to provide innovative financing and allied solutions to the pharma distribution tail, specialty players, and brands.",Fundly.ai is a fintech platform embedded in the healthcare vertical to provide innovative financing and allied solutions.,"Accel, Multiply Ventures",Seed,"$3,000,000",11-50,"Mumbai, Maharashtra, India",2021
Wanderboat AI,"Artificial Intelligence (AI), Service Industry","Wanderboat is a travel + outing AI companion to find and sort the best point of interest with videos, images, and insights. From signature dishes to photo spots, you can ask questions freely in-chat, in-document, or on-map for personalized experiences.",Wanderboat AI offers possibilities to plan excursions by just chatting with AI and generating travel itineraries.,"Sequoia Capital, UpHonest Capital",Seed,—,1-10,"Sunnyvale, California, United States",2023
Caresync.website,"Apps, Consulting, Health Care","Our telemedicine platform aims to transform the way healthcare is accessed, offering patients the flexibility to connect with trusted healthcare providers anytime, anywhere. Through our intuitive interface and advanced video conferencing capabilities, we enable seamless communication and personalized care delivery.",Connecting doctors with patient,"Andreessen Horowitz, Sequoia Capital",Series A,"€10,000,000",1-10,"Copenhagen, Hovedstaden, Denmark",Feb 2022
Qurable,"Artificial Intelligence (AI), Blockchain","Qurable is a SaaS/BaaS platform that is revolutionizing loyalty programs through its artificial intelligence and blockchain-based product. It simplifies the creation of interconnected loyalty programs and personalized rewards, thereby enhancing customer engagement. Moreover, it transforms points into valuable assets that can be exchanged within multi-brand ecosystems, making loyalty more accessible and user-friendly. Company detail in https://qurable.co","Future of Loyalty Programs, all-in-one loyalty platform","Accel, Latitud, Newtopia VC, Investo",Seed,"$165,000",11-50,"Miami, Florida, United States",2021
Otto,"Financial Services, FinTech, Health Care","Otto is an AI-powered copilot for wealth managers, designed to streamline and automate essential advisory admin workflows. By handling repetitive tasks and administrative work, Otto frees up advisers and paraplanners to dedicate more time to focus on their clients.",AI-powered copilot for wealth managers.,"Sequoia Capital, Flash Ventures",Seed,—,11-50,"London, England, United Kingdom",2020
Spindle AI (www.spindle.ai),"Analytics, Artificial Intelligence (AI)","Backed by Accel Partners (Slack/Dropbox/Atlassian) and Caffeinated Capital (Notion/Airtable/IFTTT), Spindle AI (https://spindle.ai) is your intelligent copilot for scenario planning. Instantly place a virtual data scientist & operations analyst at the fingertips of every budget stakeholder to generate scenarios, simulate “what‑ifs”, summarize trade‑offs… and still have time for lunch. Spindle is lovingly built by machine learning & BI entrepreneurs/engineers from Tableau (Salesforce), Google, Stanford University, Facebook, and others who share our mission to augment human cognition with analytics. Come shape the future with us: https://spindle.ai",Spindle AI’s “generative analytics” platform helps Strategic Finance teams answer 10x more “What-If” questions than their competitors.,"Accel, Caffeinated Capital, Andrew Vigneault",Seed,—,1-10,"Palo Alto, California, United States","Sep 9, 2021"
fina,"Financial Services, FinTech, Software",fina is the simplest wallet interface for beginners to start exploring crypto and DeFi.,fina is the simplest wallet interface for beginners to start exploring crypto and DeFi safely.,"Accel, Tiny VC, Seedcamp, Atlantic Labs",Pre-Seed,—,11-50,"Berlin, Berlin, Germany",Oct 2020
Provision,Artificial Intelligence (AI),Provision is a contracts analysis platform for construction.,Provision is a contracts analysis platform for construction.,"Sequoia Capital, Y Combinator",Seed,—,1-10,"Toronto, Ontario, Canada","Sep 1, 2021"
Sotera Heritage,"Insurance, InsurTech, Machine Learning","Sotera is an Insurtech company using deep tech and data to create risk ratings for unusual objects. Founded at Cambridge University, Sotera completed the accelerator at Lloyds of London and is working with the Visual Geometry Group at Oxford University. Sotera raised its first round from investors including Tokio Marine Future Fund, an Insurtech CVC fund based in Silicon Valley, Accel, Ninety, and a small group of experienced angels. Sotera will also provide the toolkit it builds to record at-risk collections to help combat the looting and trafficking of antiquities and art.",Sotera uses AI and data to provide insurers with risk ratings for unusual objects.,Accel,Pre-Seed,—,1-10,"San Francisco, California, United States",2020
Rewind AI,"Artificial Intelligence (AI), Information Technology",—,"Rewind AI provides a Mac app that captures and searches through everything seen, said, or heard on a device.","Andreessen Horowitz, First Round Capital",Series A,"$17,931,628",11-50,"Denver, Colorado, United States",2020
Biogenesis,"Health Care, Medical, Pharmaceutical",—,Biogenesis is building the end-to-end platform for clinical research.,"Kleiner Perkins, Pareto Holdings",Seed,"$2,500,000",1-10,"Palo Alto, California, United States",2022
Marveri,"Artificial Intelligence (AI), Information Technology",—,"Marveri is a tech startup founded out of MIT & Harvard, focused on revolutionizing the legal industry, and backed by top-tier investors","Sequoia Capital, Bessemer Venture Partners",Seed,"$2,750,000",1-10,"Cambridge, Massachusetts, United States",2023
Mermaid Chart,"Data Visualization, Information Technology",—,Building the next generation of smart diagramming for enterprise teams. Easily create and collaborate on complex diagrams from text.,"Sequoia Capital, M12 - Microsoft's Venture Fund",Seed,"$7,575,000",11-50,"San Francisco, California, United States",2021
Iconic.AI,"Generative AI, Video Games",—,Iconic AI is an AAA games studio AI-driven game development,"Sequoia Capital, HodlCo, Atomico",Pre-Seed,"$4,000,000",11-50,"London, England, United Kingdom","Mar 24, 2023"
Fei Labs,Cryptocurrency,—,Fei Labs contributes to open source decentralized applications.,"Andreessen Horowitz, Framework Ventures",Series A,"$19,000,000",11-50,"San Francisco, California, United States",2020
Function Health,Health Care,—,100 Healthy Years • Your new routine of 120+ advanced lab tests explained by the world's top doctors,"Andreessen Horowitz, Jeff Dean",Series A,"$53,000,000",11-50,"Los Angeles, California, United States",Jun 2021
Fal.ai,"Artificial Intelligence (AI), Cloud Management",—,Fal is a Python cloud that runs dbt project for machine learning models.,"Robin Rombach, Andreessen Horowitz",Series A,"$14,000,000",1-10,"Oakland, California, United States",2020
Series Entertainment,"Artificial Intelligence (AI), Creative Agency",—,Series Entertainment is a creative company that specializes in the development of games using artificial intelligence.,"BITKRAFT Ventures, Andreessen Horowitz",Series A,"$27,999,999",11-50,"Rocklin, California, United States",2023
Doctor Droid,"Artificial Intelligence (AI), Developer Tools",—,Doctor Droid is an on-call intelligence platform to accelerate production issue & incident investigations.,"Y Combinator, Accel",Seed,—,1-10,"San Francisco, California, United States",2022
Gladia.io,Artificial Intelligence (AI),—,Audio-intelligent transcription technologies,"Sequoia Capital, New Wave (VC)",Seed,"€3,700,000",11-50,"Paris, Ile-de-France, France","Jan 27, 2022"
Weights,Generative AI,—,"Weights is a social AI Creation Platform. Create audio, images, chat, and more for free, and share with your friends!","Kleiner Perkins, Precursor Ventures",Seed,—,1-10,"San Francisco, California, United States","Mar 27, 2024"
