Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
Gibobs Allbanks,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/aijw1tdgfefqjanx4bnh","Finance, Financial Services, FinTech","Gibobs Allbanks is a cutting edge fintech platform is helping consumers, companies and providers of financial services to find their ideal match through the integration of sophisticated technology and personalized human analysis.","Gibobs Allbanks is a cutting edge fintech platform is helping consumers, companies and providers of financial services.",Global PayTech Ventures,Seed,—,—,51-100,"Majadahonda, Madrid, Spain",10,2020
TransferChain,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ktyavtayoshazutsdqmv","Blockchain, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Cyber Security, Privacy, Private Cloud","TransferChain makes the cloud private for businesses. TransferChain provides the most secure and private; cloud storage, file transfer, backup, and messaging features commercially available to the public. Our protocol upgrades any application with 100% privacy and security by unleashing the full potential of blockchain, cryptography, and distributed cloud technologies.",TransferChain makes the cloud private for businesses; providing the most secure and private cloud commercially available to the public.,Tenity,Seed,—,—,11-50,"Zug, Zug, Switzerland",6,2020
Fig Finance,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vvj1resrxpy7norkab4v","Financial Services, FinTech, Impact Investing, Venture Capital",The missing piece in B2B credit,The missing piece in B2B credit,"CoinShares, Episode 1",Seed,—,—,11-50,"New York, New York, United States",10,"Jan 14, 2022"
Wishroute,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qlu2dzpqggokvjsijdjn","Artificial Intelligence (AI), Marketing Automation, Messaging, Software, Wellness","Wishroute helps D2C companies proactively and personally support customers with a human “accountability buddy,"" driving increased conversion, engagement and retention. We enable companies to add human-supported daily SMS conversations to their platforms, designed to help people build healthy habits around the product they signed up for, increasing motivation and, in turn, preventing drop-off. We leverage AI to turn our human support guides into superhumans, with the ability to handle any scale and deliver a positive ROI.",Wishroute helps your customers build healthy habits around your product via text.,"Techstars, TBD Angels, Neu Ventures, David Chang, Nicole Stata",Seed,—,—,11-50,"Boston, Massachusetts, United States",6,2018
&Charge,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/sgalgmdi1cm6xtemd2bn","Advertising Platforms, Automotive, Big Data, Guides, Information Technology, Mobile Advertising, Private Social Networking, Transportation","We improve the EV charging experience by making it more affordable, reliable & fun. &Charge is the only European platform combining smart user engagement with value-added services around EV charging. &Charge App: &Charge offers a digital one stop-shop engagement and service platform for every EV driver – we serve as the user’s companion for EV Charging: >> Free public charging with our rewards program >> Most accurate POI data with our crowd-sourced data stream >> Huge coverage of charging stations with our Wallbox Sharing system B2B Services: &Charge’s value-added services solve constraints and ensure additional benefit for the different players in the EV ecosystem such as CPOs, EMPs and Roaming platforms.",&Charge is the only European platform combining smart user engagement with value-added services around EV charging,"Porsche Ventures, Helen Ventures",Seed,—,—,11-50,"Frankfurt, Hessen, Germany",2,"Sep 26, 2019"
Handl,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/nlb57p88tygwlyvsrae0","Artificial Intelligence (AI), Document Management, InsurTech, Machine Learning","Handl is a deep tech B2B company that's reinventing OCR, document classification and data extraction by merging deep learning algorithms with humans-in-the-loop. This way we can easily customize our document capture pipeline for any specific unsolved needs while keeping the highest level of accuracy.",API for data extraction from documents with superhuman accuracy.,"Y Combinator, Bossanova Investimentos, Socially Financed",Seed,—,—,11-50,"San Francisco, California, United States",—,2018
Maybe*,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/dhwidxmv4mif6ua2wjrr","Artificial Intelligence (AI), E-Commerce, Location Based Services, Marketing, Shopping","Maybe* specializes in deploying AI solutions that streamline work, boost efficiency, and produce consistently on-brand messaging. It helps ambitious businesses transform their digital communication with AI. The company enhances productivity and crafts impeccable content tailored to the unique business voice, from proposals to social media.",Maybe* is an AI-powered SaaS platform that helps ambitious businesses transform into digital communication,Smart Anchor Ventures,Seed,—,—,11-50,"Birmingham, Birmingham, United Kingdom",9,"Aug 9, 2018"
MPCVault,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/lj05xbtgvifkv3ephbom","Cryptocurrency, Cyber Security, FinTech, Web3","MPCVault is a multisig wallet for Web3 teams and businesses. It is multi-chain, multi-sig, and multi-asset. Securing millions of transfers daily, MPCVault is trusted by hundreds of global businesses, including top-tier Web3 projects, trading firms, and VCs.","MPCVault is a multisig crypto wallet for business. It’s multi-chain, multi-sig and multi-asset.",,Seed,—,—,11-50,"Sunnyvale, California, United States",9,"Jan 1, 2022"
Adin.AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qjq8shgqvlkqndn3e7xq","Advertising, Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Information Technology, Intelligent Systems, Marketing","Adin.AI: AI-Based Cross-Channel Media Planning platform for Enterprises | B2B SaaS Adin.AI dramatically improves return on investment with AI-based intelligent targeting and optimization. Our cross-channel capabilities enhance digital ad performance, delivering maximum efficiency for enterprises. Selected by Fast Company as one of the ""Most Innovative Companies,"" Adin.AI simplifies media planning, allowing you to focus on growing your business. Key Features: AI-Driven Targeting & Optimization: Boost KPIs with smart audience insights. Cross-Channel Support: Google, Meta, TikTok, programmatic, reserved media and more... 100% Transparency: Track all changes with Quantum Ledger Database (QLDB) technology, ensuring full transparency and accountability. Transform your digital marketing efforts with Adin.AI.",AI-Based Cross-Channel Media Planning Platform for Enterprise Advertisers. Advertisers' Home Screen,İşbank,Seed,—,—,11-50,"Delaware City, Delaware, United States",9,"Jul 1, 2022"
Tuned,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/bcsyqj4mntpnggqdbzfd","Bitcoin, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Internet, Software, Trading Platform","Tuned is an emerging Fintech company focused on capital markets innovation. The company is helping every trader build a successful trading business, by providing them powerful enterprise-grade trading infrastructure and access to capital. With Tuned's all-in-one platform, traders can design strategies leveraging hundreds of built-in indicators, run thousands of permutations of their strategy to optimize performance and automate trading on leading exchanges with millisecond response time and no trading fees. Quantitative traders looking to develop new income streams use Tuned to license their strategies to other traders without ever revealing their intellectual property.","The all-in-one trading platform to create, automate, and monetize strategies.","Graph Ventures, New Form Capital, Bobby Brannigan",Seed,—,—,11-50,"San Francisco, California, United States",382,Nov 2018
Authic Labs,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/hdankxstek9tl8tsrunf","Blockchain, Loyalty Programs, Web3","Authic Labs offers a customizable, no-code solution for companies to enter Web 3, enabling digital marketplaces and supply chain transparency via smart contracts.","Authic Labs is a software solutions provider, specialized in a loyalty platform powered by Web3 technology","SeedBlink, Graduate Entrepreneur Fund, Rockstart, Angelwise",Seed,—,—,11-50,"Amsterdam, Noord-Holland, The Netherlands",8,Oct 2021
Synteny.Ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/brc9yjkgjszkxsrutvgd","Biopharma, Biotechnology",—,Synteny.Ai Syntney decodes the signals of immune repertoires to help biotech research and pharma companies with disease discoveries.,"Alumni Ventures, Obvious Ventures, KdT Ventures, In-Q-Tel, Green D Ventures",Seed,—,—,11-50,"London, England, United Kingdom",10,2021
Modularity,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/mebcusgop5nababfks4f","B2B, Big Data, Data Center Automation, Finance, FinTech, Procurement, SaaS, Software","Modularity helps the entire organization to manage their finances and plans, improving the lives of FP&A and Accounting. Its platform automates finance operations in 15 minutes.","Modularity helps the entire organization to manage their finances and plans, improving the lives of FP&A and Accounting.",CoFound Partners,Seed,—,—,11-50,"San Francisco, California, United States",11,2021
Warbler Labs,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/epqgfgm2so3iup72prqy","Blockchain, Cryptocurrency, FinTech, Software",—,Warbler Labs is a fintech company that fixates on blockchain development and provides crypto technological solutions for businesses.,"Coinbase, a16z crypto, Mercy Corps Ventures, IDEO CoLab Ventures",Seed,—,—,11-50,"Walnut, California, United States",9,2020
VIZGARD,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/q401ncphdqxyrwfryrrv","Artificial Intelligence (AI), Drones, Machine Learning, Public Safety, SaaS, Security, Software","Vizgard is a multi-award-winning SME building a safer future by automating time-critical Security systems that traditionally require repetitive or prolonged visual monitoring. Optimised for ultimate performance on the edge, Vizgard's autonomy-enabling AI engine, FortifAI, provides long-range visual intelligence, external sensor fusion and low-latency camera platform control for reducing false alarms and operator burden. For increased situational awareness, several state-of-art computer vision capabilities are combined into a single easily integrated, platform-agnostic software application for enhancing perimeter, counter-UAS and unmanned systems (UAV, UGV, USV, UUV), as demonstrated on the Royal Navy's unmanned test submarine in late 2021. FortifAI's growing list of enhancements includes: -Detection and tracking of people, faces, cars, boats, drones, birds, planes and helicopters -Single object tracking and reacquisition of small and agile targets with PTZ camera control -Human behavioural prediction with an individually allocated Risk Index -Counter-UAS detect/track/classify capability from ground or air platforms -Real-time face redaction -Full-frame image stabilisation -Human-aware precision drone landing in GPS-denied environments",B2B AI software SME automating time-critical systems that traditionally require repetitive or prolonged visual monitoring.,Britbots,Seed,—,—,11-50,"London, England, United Kingdom",14,"Nov 20, 2020"
etalytics,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/87e1548fb49e476391941f25ea916ac3","Artificial Intelligence (AI), Consulting, Software","etalytics offers cutting-edge, data-driven energy intelligence solutions using AI. With the etaONE® platform, businesses in industries such as data centers, pharmaceuticals, and automotive can analyze and optimize their industrial energy systems, resulting in up to 50% reduced energy consumption, CO2 emissions, and energy costs through optimized operational strategies.","etalytics offers data-driven energy intelligence solutions using AI. With etaONE®, industries analyze and optimize their energy systems.","BM H Beteiligungs-Managementgesellschaft Hessen, Xantaro",Seed,—,—,11-50,"Darmstadt, Hessen, Germany",8,2020
Alteon.io,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ehlmyvhievkkcihon6pp","Artificial Intelligence (AI), Blockchain, Cloud Storage, Content Creators, Film Production, Generative AI, Media and Entertainment, SaaS, Software, TV Production","Alteon.io helps content creators work faster, smarter and from anywhere in the world. Comprehensive, secure, scalable, cloud-based and future-proof, Alteon is a central hub that streamlines workflows for creatives of all backgrounds in the $100-billion creator economy, from freelancers to small businesses and enterprises alike. Bolstered by integrations and partnerships with Apple, Adobe, IBM and other industry leaders, Alteon is democratizing the creative industry by making enterprise-quality tools accessible to everyone.","We're making creative collaboration seamless, simple and simultaneous.",,Seed,—,—,11-50,"Boca Raton, Florida, United States",11,"Jan 1, 2020"
Lynceus,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ro6npkqh0ajmde5hdamc","Analytics, Artificial Intelligence (AI), Machine Learning, Manufacturing, Predictive Analytics, Quality Assurance, Software","Lynceus delivers production-proven AI/ML solutions that predict the result of quality control tests for complex manufacturing process steps. Our solutions are both inline and real-time, enabling millions in savings for manufacturing companies, by identifying all product defects, monitoring machine performance, and accelerating root cause analysis. David Meyer and Guglielmo Montone established the company in Paris, Ile-de-France, France.","Lynceus delivers inline, real-time AI/ML solutions that predict the quality of complex, high-value manufacturing processes.","Creative Destruction Lab (CDL), AGORANOV, Acequia Capital (AceCap)",Seed,—,—,11-50,"Paris, Ile-de-France, France",4,2020
BidX - Scale Marketplace Ads,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/67587b3b51f24705a00462509787f2e0","Advertising, Advertising Platforms, Artificial Intelligence (AI), E-Commerce, Enterprise Software, Machine Learning, Marketing, SaaS, Software","BidX enables Amazon sellers to grow and scale their business by fully automating marketplace advertising. The AI marketing automation understands every paid and organic customer interaction and automates PPC and DSP ads accordingly. Over 2,000 innovative advertisers trust BidX to power their paid resources. BidX customers experience improved conversion rates, lower CPCs, incremental sales, and an overall improved RoAS.",BidX enables Amazon sellers to grow and scale their business by fully automating advertising on and off Amazon with PPC and DSP ads.,,Seed,—,—,51-100,"Darmstadt, Hessen, Germany",26,"Apr 18, 2018"
Tribyl Inc.,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/awpcvveua3eilzi2ragf","Analytics, CRM, Enterprise Software, Machine Learning, Marketing, Natural Language Processing, Product Management, SaaS, Sales, Sales Automation","To win bigger, Enterprises must constantly track what their target Buyers want and need -- today. Use cases, evaluation criteria, and competition are all constantly moving targets. The Tribyl Buyer Intelligence Cloud™ uses machine learning to analyze sales conversations, and creates a single source of truth on why and how your customers are buying, and how they perceive you versus competition...right now. No more guesswork, blind spots, opinions or manual data collection. According to CSO insights, Enterprises with dynamic customer journey alignment could unlock 15-20% higher revenue growth. The Buyer Intelligence Cloud makes that a reality. Learn more at https://www.tribyl.com/","Tribyl is a Buyer Intelligence Platform that uses ML/NLP to provide Enterprises actionable win/loss insights, driving revenue growth.","DNX Ventures, Blue Collective, Firebolt Ventures, Monta Vista Capital, Wharton Alumni Angels",Seed,—,—,11-50,"San Mateo, California, United States",33,Mar 2018
MLtwist,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/gzhjrhg7iknswkzczvgv","Artificial Intelligence (AI), Information Technology, Machine Learning, Software","MLtwist is a Data as a Service platform that helps bring models to production with the best quality twice as fast at half the cost. MLtwist's platform alleviates the tremendous pressure on data scientists and handles platform selection, platform connectivity, and everything in between— resulting in companies going from unclassified unlabeled messy data to high quality, well organized, labeled classified data incredibly quickly.",MLtwist is an automated data pipeline platform for AI data enabling customers to deploy data pipelines for AI at the click of a button.,"Stage 2 Capital, AIN Ventures, Hike Ventures, Village Global, Forward Deployed VC",Seed,—,—,11-50,"Santa Clara, California, United States",7,"Jan 19, 2021"
Zeal Global Inc.,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/p3e31t3ry8grjf1oweua","Artificial Intelligence (AI), Contact Management, Information Technology, Machine Learning, SaaS","Zeal is a collaborative contract management platform that helps companies automate contract functions, analyze contract data and build workflows that enhance compliance and accelerate sales.",Zeal is an AI software company building enterprise-scale productivity applications focused on solving contract automation.,AngelPad,Seed,—,—,51-100,"San Francisco, California, United States",1,2019
Telescope,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/tcvh5norpl2sxrkggghb","Apps, Artificial Intelligence (AI), SaaS","Telescope: Telescope, a marketing-oriented artificial intelligence solution, provides services in SaaS and Enterprise versions. Thanks to Telescope, companies can predict the performance of their campaigns according to the macroeconomic data of the country they are in, and save budgets. Telescope also offers its customers suggestions about which Digital Platforms such as Google, Meta (Facebook, Instagram) can communicate more strongly. It offers the most suitable campaign pool for companies to its users by evaluating the rival situation.",Telescope is a technology-based company that designs and builds AI-powered tools for marketing professionals.,,Seed,—,—,11-50,"London, England, United Kingdom",8,May 2021
Zumen,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/i9enzbyxpwimkbmpyiyw","Enterprise Applications, Software, Supply Chain Management","Zumen enables product manufacturing companies to digitize their direct sourcing and procurement, and manage every detail of the process in a transparent, collaborative platform. With Zumen’s part life cycle management, BOM interface, supplier base visibility, and product cost management, companies can build an agile, resilient supply chain and get their products to market faster.",Zumen is a cloud-based source-to-pay software for product manufacturing companies.,"Shastra VC, Sprint Vc",Seed,—,—,11-50,"Walnut, California, United States",6,2019
Mile Solutions,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/otd0ojjisiaesmpjofpm","Delivery, Enterprise Software, Last Mile Transportation, Logistics, SaaS, Supply Chain Management","Mile helps fleet operators supercharge their processes with an integrated logistics & commerce platform. Our Enterprise Tech Stack digitally transforms logistics operations for First, Middle & Last Mile including Fleet Management, Warehouse Management, Fulfillment Storage operations, Merchants Management and Marketplace Commerce processes. Our Enterprise Tech Stack is adopted across eCommerce, mCommerce, FMCG, Retail, Water Distributors, Courier and other fleet operators. Mile has successful implementations in 10 MENA markets including UAE, KSA, Kuwait, Qatar, Oman, Iraq, Egypt, Libya, Mali along with many others globally. Our AI & ML Algorithms empower operations through seamlessly integrated workflows, connecting multiple departments and stakeholders for improved efficiency, transparency and visibility across the entire logistics value chain. Mile compliments marketplace operations through unified storage, fulfilment and reverse logistics, improving customer engagement, contextual live communication, conversational logistics and much more.",Mile helps fleet operators supercharge their processes with an integrated logistics & commerce platform.,"500 Global, Riyad TAQNIA Fund (RTF)",Seed,—,—,11-50,"Dubai, Dubai, United Arab Emirates",10,"Jan 2, 2019"
Staq.io,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/zczix5eoe0lrovbzajdr","Developer Platform, Financial Services, FinTech, Mobile Payments, Payments","Staq is offering an advanced Banking-as-a-Service (BaaS) and embedded finance platform that bridges the gap between traditional banking institutions and modern fintech innovations. Our mission is to empower businesses, fintech startups, and financial institutions to launch and scale financial services rapidly, efficiently, and securely. Core Offerings: - Comprehensive BaaS Solutions: Staq provides a robust framework for businesses to offer banking services, including account management, payments processing, and credit solutions, without the need for a banking license. - Embedded Finance: We enable seamless integration of financial services into non-financial platforms, enhancing customer experience and creating new revenue streams for businesses across various sectors. - Innovative Technology: Our platform leverages cutting-edge technology to offer secure, scalable, and flexible financial services infrastructure that supports a wide range of applications, from neobanks and payment services to lending platforms and beyond. Strategic Advantage: - Global Reach with Local Expertise: Staq operates across multiple geographies, offering tailored solutions that meet the regulatory and market-specific needs of each region. - Partnership Ecosystem: We have established strong partnerships with leading banks, financial institutions, and technology providers, creating a synergistic ecosystem that fosters innovation and accelerates growth. - Customer-Centric Approach: At Staq, we prioritize the needs and experiences of our clients, providing personalized support and continuous innovation to meet the evolving demands of the fintech landscape. Vision for the Future: Staq is committed to reimagining the future of finance by making financial services more accessible, efficient, and adaptable. We aim to be the backbone of the fintech industry, supporting our clients as they redefine financial experiences for their customers. Join us in our journey to build a more inclusive, innovative, and interconnected financial world. Contact Us: Explore how Staq can transform your financial services offerings. Visit our website https://staq.io or reach out to our team at hello [at] staq.io for more information.",Staq: Empowering Financial Innovation through Seamless Banking-as-a-Service (BaaS) and Embedded Finance Solutions,,Seed,—,—,11-50,"Dubai, Dubai, United Arab Emirates",8,2023
Winvesta,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/c15khhz9ysst5z6ibixj","Financial Services, FinTech","Winvesta is a UK based fin-tech building a platform with specialist cross-border solutions. It has two main segments. 1. Global Payments Collections for Exporters: Traditional banking rails are archaic, opaque and customer-unfriendly. Credit card collections work only for small transactions. The Global trade market of USD 32tn is broken. We help fix it by making it transparent, honest and bringing power into the hands of the customers. 2. Global Investing: People in emerging markets have limited access to investment opportunities overseas. As the products from the world travel around, we become users of these in every country. How can we fix it? Through Winvesta's Global investing platform, anyone can start investing globally through companies and funds listed in the US.",Winvesta is a specialist cross-border platform that provides global collections and cross-border investing to businesses and individuals,"Blume Ventures, iSeed, Hauz Khas Ventures, Kunal Shah, Speciale Invest",Seed,—,—,11-50,"London, England, United Kingdom",10,Apr 2020
Ribbit.ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e5izqgys6jbejls0fgs6","Artificial Intelligence (AI), Consulting, Financial Services, FinTech","RIBBIT leverages the recency and accuracy of bank behavior to empower financial service providers to make smarter decisions, promote financial inclusion, and reduce fraud. Consumers and small businesses can now use their own bank and payment data to improve access to quality financial services. With AI-powered bank INSIGHTS, RIBBIT delivers instant actionable intelligence that drives customer acquisition with less friction and more accuracy than traditional tools.",Ribbit.ai is an AI-enhanced platform that delivers better financial outcomes by assessing risk and offering affordable financial products.,ABS Capital Partners,Series A,—,—,11-50,"Oxford, Oxfordshire, United Kingdom",9,2020
Botcopy,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/eucnflshbtaztabokriu","Artificial Intelligence (AI), Customer Service, Data Center Automation, Data Integration, Developer Tools, Enterprise Applications, Enterprise Software, Google, Messaging, SaaS","Botcopy's customer messaging system is entirely cloud-platform-compatible. It leverages backend NLU technologies from GCP while providing a full suite of advanced tools to help enterprises build, deploy, monitor, and train web and mobile app messenger solutions. Unique top-of-funnel features and human-handoff suite. WCAG 2.1 AA / HIPAA compliant. Botcopy's many features, settings, and integrations minimize the need for a live chat over time, cutting operational costs and boosting end-user satisfaction. Messengers built with Botcopy can read the room, adapt to language settings and user behaviors, and can escalate to live chat if needed. Botcopy also reduces production costs by providing a no-code solution for generating rich, custom web and app chat UIs in a few clicks. 20,000+ brands enjoy Botcopy, including Realogy, CA.gov, Riot Games, Genentech, SpartanNash, NYU, City of San Jose, and is relied on by agencies and cloud services providers, e.g., SADA, SpringML, MavenWave, MBooth, CGI, XTDirect, and Sitel Group.",The AI-first messenger and live chat for enterprise and public sector. Deploy Dialogflow CX on your websites and apps. ADA 2.1 AA compliant.,"IDEA: Northeastern University's Venture Accelerator, Little Bug Ventures, LLC",Seed,—,—,11-50,"Santa Monica, California, United States",7,"May 18, 2018"
FinanceOps.AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/xfsnwovnd6bdcwtlrcyq","Financial Services, FinTech, SaaS","About FinanceOps At FinanceOps, we're building the future of financial operations with our fully autonomous back-office financial operations platform. Specializing in collections, payments, risk management, and cash management, we leverage advanced AI and ML technologies to optimize and automate critical financial processes. Founded in 2023 in Austin, Texas, FinanceOps Inc is a venture-funded startup backed by prestigious investors, including Leo Capital, Array Ventures, and Beta Labs. Our mission is to streamline financial operations for businesses, enabling them to operate more efficiently and effectively.",Autonomous Financial Back Office Operations,,Seed,—,—,11-50,"Austin, Texas, United States",10,2023
Hydrus.ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ookxq9abcf0jdzdv8aia","Analytics, Artificial Intelligence (AI), Machine Learning, Software","Hydrus is a software platform that serves as an organization’s Environmental, Social, and Governance (ESG) operating system. The platform enables AI/ML data-driven analytics for sustainability professionals to drive outcomes that matter. We have served Fortune 500 companies with a global footprint solving their most challenging sustainability problems.","Hydrus is a software platform that serves as an organization’s Environmental, Social, and Governance (ESG) operating system.","1517 Fund, Forum Ventures",Seed,—,—,11-50,"San Francisco, California, United States",2,May 2020
AllianceBlock,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/j3qox9mcoypuv6rarvao","Angel Investment, Financial Services, FinTech, Funding Platform, Information Technology, Small and Medium Businesses","AllianceBlock provides financial infrastructure consisting of ready to use applications and DeFi protocols to build on top on that gives direct access to core financial mechanisms in the digital asset space to any given project that wants to apply decentralized technology in a business process in order to reduce development complexity, allowing them to focus on their own objectives, ultimately reducing time-2-market and increasing relevancy. AllianceBlock was founded in 2018 and is based in Utrecht, Netherlands.","DeFi end-to-end infrastructure leveraging decentralized technology that individuals, projects, and businesses can use to accelerate growth",Momentum 6,Seed,—,—,11-50,"Utrecht, Utrecht, The Netherlands",2,"Jan 1, 2018"
Sovity,"https://sovity.de/wp-content/uploads/2023/07/cropped-sovity_Logo-v2-1-270x270-1.png","Big Data, Data Storage, SaaS, Software",Sovity is a comprehensive software-as-a-service that enables data sharing and data-driven business models by connecting companies in data ecosystems. They provide all companies with access to data sovereignty based on international data spaces allowing them to create new business models and build innovative products.,Sovity is a IDS operating company.,"HTGF | High-Tech Gruenderfonds, FTTF",Seed,—,—,11-50,"Dortmund, Nordrhein-Westfalen,",9,Oct 2021
Hostie,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ipsrzntupikbz0y9ijtf","Hospitality, Information Technology, Property Management, Real Estate, Software, Travel","Hostie supports Airbnb host or vacation rental companies with a professional network of Cohosts. Hostie allows Airbnb hosts effortlessly manage their properties. We support our network of professional cohosts with a 24/7 reservation and support services, revenue manager and our software offers one easy management dashboard to measure performance. We work together with our CoHost to maximize revenues and increase guest satisfaction.",Hostie takes the work out of hosting your airbnb by providing a professional network of cohosts and software tools to manage your property.,,Seed,"$75,000","$75,000",11-50,"Los Angeles, California, United States",4,2018
United Manufacturing Hub,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/zwgcoquedq7c0tg30qdr","Enterprise Software, Internet of Things, SaaS, Software","UMH is the Open-Source IIoT company. We create the place to be for Industrial IoT engineers by empowering them to scale their industrial IoT infrastructure. We do this by providing our management SaaS, our Open-Source IaaC and our active and fast growing community.","SaaS, IaaC, Open-Source","Intel Ignite, Freigeist Capital, DnA | Consulting and Venture Building",Seed,—,—,11-50,"Aachen, Nordrhein-Westfalen,",7,2021
"LinkGear Foundation, LLC","https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wo9wmne8xwos4nnepn88","Blockchain, Consulting, FinTech, Information Technology, Software","LinkGear is a decentralized multi-blockchain system designed to support all peer-to-peer digital economic activities, and offers a built-in token rewards system that incentivizes buyers, sellers, content creators, and community builders; combined with personal mobile wallet as entry point to dApps (web based). Based on social media, iXin offers mobile and online marketplace where people can initiate, discover, participate and save on amazing group purchasing deals in a community where customers and merchants can open dialogues. It provides digital tools for the small businesses to target their customers and profitable grow their businesses. It also provides a real-time tracking certificate of a product for validating the origination.",LinkGear is a decentralized multi-blockchain system designed to support all peer-to-peer digital economic activities.,,Seed,"$50,000","$50,000",11-50,"Rockville, Maryland, United States",9,"Jul 23, 2018"
Hafla,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/c3hlgrowldrmku6fjbqv","Artificial Intelligence (AI), E-Commerce Platforms, Event Management, Events","Hafla is a one-stop shop for event organizers to discover, book, and pay for everything they need for an event. Hafla’s tech platform brings together event planners, venues, equipment rental companies, caterers, artists, and a long tail of service providers to transact seamlessly. Hafla delivers an eCommerce-like, easy, fast, and trusted experience in an otherwise low-tech, high-fragmentation, high-friction industry. Hafla minimizes the stress in event planning so that everyone can celebrate more. Inspire and enable everyone to celebrate more. Hafla is on a mission to deliver more and better celebrations. We want to let you tailor your event. We want to make event planning easy by saving time and effort. The platform understands the event context and creates personalized event ideas.","Hafla is an AI event services company that offers aggregated sourcing platforms for venues, equipment, and catering services.","Shorooq Partners, M Venture Partners (MVP), Nour Nouf",Seed,—,—,51-100,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Apr 2021
